RECORDING_SESSION_LABEL,TRIAL_INDEX,image,experiment,n_fix,fix_mean,fix_max,norm_fix_mean,norm_fix_max,x_regressions,y_regressions
63,2,NamingWITHinterference.jpg,4,41,405.658536585366,884,0.458889747268513,1,14,21
63,3,ReadingWITHOUTinterference.jpg,4,40,388.8,1780,0.218426966292135,1,16,24
63,4,ReadingWITHinterference.jpg,4,27,440.962962962963,2026,0.217652005411137,1,10,13
64,1,ReadingWITHinterference.jpg,5,84,235.571428571429,968,0.243358913813459,1,28,37
64,2,ReadingWITHOUTinterference.jpg,5,46,244.869565217391,686,0.356952718975789,1,16,19
64,3,NamingWITHinterference.jpg,5,63,242.825396825397,744,0.326378221539512,1,22,31
64,4,NamingWITHOUTinterference.jpg,5,55,241.272727272727,930,0.259433040078201,1,20,19
65,1,ReadingWITHinterference.jpg,6,62,381.935483870968,1114,0.342850524121156,1,27,33
65,2,ReadingWITHOUTinterference.jpg,6,36,471.944444444445,1386,0.340508257174924,1,15,21
65,3,NamingWITHOUTinterference.jpg,6,51,394.196078431372,1182,0.33349922033111,1,18,30
65,4,NamingWITHinterference.jpg,6,42,445.190476190476,1210,0.367926013380559,1,16,24
66,1,ReadingWITHOUTinterference.jpg,7,106,239.754716981132,730,0.328431119152236,1,38,53
66,2,ReadingWITHinterference.jpg,7,63,266.31746031746,1162,0.22918886430074,1,22,36
66,3,NamingWITHinterference.jpg,7,65,304.092307692308,1266,0.240199295175598,1,23,33
66,4,NamingWITHOUTinterference.jpg,7,68,268.647058823529,924,0.290743570155335,1,24,33
67,1,ReadingWITHOUTinterference.jpg,8,53,350.11320754717,838,0.417796190390417,1,22,30
67,2,ReadingWITHinterference.jpg,8,34,384.411764705882,1518,0.253235681624428,1,11,22
67,3,NamingWITHOUTinterference.jpg,8,45,368.755555555555,1076,0.342709624122263,1,15,31
67,4,NamingWITHinterference.jpg,8,40,423.85,1574,0.26928208386277,1,14,22
