RECORDING_SESSION_LABEL,TRIAL_INDEX,image,experiment,n_fix,fix_mean,fix_max,norm_fix_mean,norm_fix_max,x_regressions,y_regressions,up_freq,down_freq,left_freq,right_freq,min_duration,avg_duration,max_duration,min_vel,avg_vel,max_vel,min_ampl,avg_ampl,max_ampl,min_angle,avg_angle,max_angle,min_distance,avg_distance,max_distance,min_slope,avg_slope,max_slope
18,1,NamingWITHinterference.jpg,1,70,323.0,1070,0.3018691588785047,1,26,38,0.0564516129032258,0.0334101382488479,0.3490783410138249,0.5276497695852534,16,72.88248847926268,3542,0.34,94.79995391705069,352.16,0.02,5.233179723502304,37.17,-179.97,3.0763479262672813,179.92,0.7000000000000028,179.08566856922806,1308.397439618406,-3.1396357089254967,-0.0499878591611444,3.1407920132484604
26,1,NamingWITHinterference.jpg,1,88,307.1363636363636,1186,0.2589682661352138,1,40,38,0.0564516129032258,0.0334101382488479,0.3490783410138249,0.5276497695852534,16,72.88248847926268,3542,0.34,94.79995391705069,352.16,0.02,5.233179723502304,37.17,-179.97,3.0763479262672813,179.92,0.7000000000000028,179.08566856922806,1308.397439618406,-3.1396357089254967,-0.0499878591611444,3.1407920132484604
34,1,NamingWITHinterference.jpg,1,144,266.1527777777778,1420,0.1874315336463224,1,60,69,0.0564516129032258,0.0334101382488479,0.3490783410138249,0.5276497695852534,16,72.88248847926268,3542,0.34,94.79995391705069,352.16,0.02,5.233179723502304,37.17,-179.97,3.0763479262672813,179.92,0.7000000000000028,179.08566856922806,1308.397439618406,-3.1396357089254967,-0.0499878591611444,3.1407920132484604
36,1,NamingWITHinterference.jpg,1,133,238.015037593985,874,0.272328418299754,1,59,66,0.0564516129032258,0.0334101382488479,0.3490783410138249,0.5276497695852534,16,72.88248847926268,3542,0.34,94.79995391705069,352.16,0.02,5.233179723502304,37.17,-179.97,3.0763479262672813,179.92,0.7000000000000028,179.08566856922806,1308.397439618406,-3.1396357089254967,-0.0499878591611444,3.1407920132484604
44,1,NamingWITHinterference.jpg,1,54,261.0,652,0.4003067484662577,1,18,29,0.0564516129032258,0.0334101382488479,0.3490783410138249,0.5276497695852534,16,72.88248847926268,3542,0.34,94.79995391705069,352.16,0.02,5.233179723502304,37.17,-179.97,3.0763479262672813,179.92,0.7000000000000028,179.08566856922806,1308.397439618406,-3.1396357089254967,-0.0499878591611444,3.1407920132484604
60,1,NamingWITHinterference.jpg,1,83,318.4578313253012,908,0.3507244838384374,1,27,31,0.0564516129032258,0.0334101382488479,0.3490783410138249,0.5276497695852534,16,72.88248847926268,3542,0.34,94.79995391705069,352.16,0.02,5.233179723502304,37.17,-179.97,3.0763479262672813,179.92,0.7000000000000028,179.08566856922806,1308.397439618406,-3.1396357089254967,-0.0499878591611444,3.1407920132484604
3,2,NamingWITHOUTinterference.jpg,1,97,317.0927835051546,1014,0.3127147766323024,1,44,51,0.0612959719789842,0.0280210157618213,0.3239929947460595,0.5726795096322241,16,52.402802101576185,918,1.33,103.93283712784589,677.54,0.12,5.566234676007006,31.74,-179.92,4.410893169877408,180.0,4.83011387029336,187.95386271080423,1119.3907271368653,-3.1231898233554807,-0.0539579548922033,3.141592653589793
10,2,NamingWITHOUTinterference.jpg,1,83,246.722891566265,688,0.3586088540207341,1,34,42,0.0612959719789842,0.0280210157618213,0.3239929947460595,0.5726795096322241,16,52.402802101576185,918,1.33,103.93283712784589,677.54,0.12,5.566234676007006,31.74,-179.92,4.410893169877408,180.0,4.83011387029336,187.95386271080423,1119.3907271368653,-3.1231898233554807,-0.0539579548922033,3.141592653589793
18,2,NamingWITHOUTinterference.jpg,1,50,302.84,794,0.3814105793450882,1,15,26,0.0612959719789842,0.0280210157618213,0.3239929947460595,0.5726795096322241,16,52.402802101576185,918,1.33,103.93283712784589,677.54,0.12,5.566234676007006,31.74,-179.92,4.410893169877408,180.0,4.83011387029336,187.95386271080423,1119.3907271368653,-3.1231898233554807,-0.0539579548922033,3.141592653589793
26,2,NamingWITHOUTinterference.jpg,1,62,231.6774193548387,796,0.2910520343653753,1,22,31,0.0612959719789842,0.0280210157618213,0.3239929947460595,0.5726795096322241,16,52.402802101576185,918,1.33,103.93283712784589,677.54,0.12,5.566234676007006,31.74,-179.92,4.410893169877408,180.0,4.83011387029336,187.95386271080423,1119.3907271368653,-3.1231898233554807,-0.0539579548922033,3.141592653589793
